date,SPY,TLT,GLD,BTC-USD
2022-11-30,389.034851,89.527443,164.809998,17168.566406
2022-12-01,388.748535,92.387428,167.839996,16967.132812
2022-12-02,388.300079,93.549286,167.259995,17088.660156
2022-12-05,381.314850,92.238937,164.389999,16974.826172
2022-12-06,375.818298,93.426987,164.839996,17089.503906
2022-12-07,375.178955,95.628365,166.330002,16848.126953
2022-12-08,378.118073,95.366257,166.470001,17233.474609
2022-12-09,375.293518,92.885376,167.059998,17133.152344
2022-12-12,380.704102,93.182381,165.679993,17206.437500
2022-12-13,383.585968,94.082123,168.509995,17781.318359
2022-12-14,381.133514,94.483978,168.100006,17815.650391
2022-12-15,371.810364,94.852631,165.350006,17364.865234
2022-12-16,367.420776,93.793053,166.789993,16647.484375
2022-12-19,364.305145,92.216858,166.320007,16439.679688
2022-12-20,364.803650,90.579369,169.080002,16906.304688
2022-12-21,370.258331,90.807060,168.800003,16817.535156
2022-12-22,364.976166,90.789543,166.759995,16830.341797
2022-12-23,367.075684,89.458534,167.259995,16796.953125
2022-12-27,365.628113,87.689667,168.669998,16717.173828
2022-12-28,361.084076,87.173027,167.910004,16552.572266
2022-12-29,367.583679,88.162544,168.850006,16642.341797
2022-12-30,366.615448,87.181770,169.639999,16602.585938
2023-01-03,365.072052,88.845520,171.059998,16679.857422
2023-01-04,367.890533,90.062737,172.669998,16863.238281
2023-01-05,363.691620,90.439262,170.520004,16836.736328
2023-01-06,372.031830,92.103035,173.710007,16951.968750
2023-01-09,371.820923,92.593391,174.100006,17196.554688
2023-01-10,374.428436,91.061012,174.740005,17446.292969
2023-01-11,379.164154,92.540848,174.619995,17934.896484
2023-01-12,380.544586,94.362282,176.639999,18869.587891
2023-01-13,382.020966,93.477829,178.759995,19909.574219
2023-01-17,381.321075,92.873611,177.589996,21161.519531
2023-01-18,375.300781,95.124084,177.080002,20688.781250
2023-01-19,372.568695,94.528641,179.889999,21086.792969
2023-01-20,379.509277,92.996223,179.289993,22676.552734
2023-01-23,384.062805,92.558380,179.630005,22934.431641
2023-01-24,383.650665,93.889374,180.279999,22636.468750
2023-01-25,383.794464,94.117096,181.110001,23117.859375
2023-01-26,388.012512,93.679237,179.470001,23032.777344
2023-01-27,388.904022,93.442802,179.220001,23078.728516
2023-01-30,384.024475,93.101318,178.759995,22840.138672
2023-01-31,389.670959,93.845604,179.410004,23139.283203
2023-02-01,393.812286,94.973732,181.669998,23723.769531
2023-02-02,399.544983,95.096657,177.899994,23471.871094
2023-02-03,395.298248,93.674423,173.460007,23449.322266
2023-02-06,392.882385,92.980896,173.820007,22760.109375
2023-02-07,398.020752,92.234619,173.979996,23264.291016
2023-02-08,393.668518,92.673599,174.410004,22939.398438
2023-02-09,390.255707,91.795662,173.029999,21819.039062
2023-02-10,391.166412,90.768494,173.360001,21651.183594
2023-02-13,395.758392,91.532303,172.479996,21808.101562
2023-02-14,395.576202,91.321625,172.610001,22220.804688
2023-02-15,396.860840,90.470001,170.889999,24307.841797
2023-02-16,391.396515,89.188217,170.750000,23623.474609
2023-02-17,390.418701,89.881805,171.259995,24565.601562
2023-02-21,382.586548,88.134727,170.619995,24436.353516
2023-02-22,382.059296,88.942436,169.660004,24188.843750
2023-02-23,384.091614,89.811569,169.570007,23947.492188
2023-02-24,379.988617,88.643921,168.350006,23198.126953
2023-02-27,381.282776,88.889732,169.009995,23522.871094
2023-02-28,379.873596,89.293571,169.779999,23147.353516
2023-03-01,378.416412,88.334290,170.759995,23646.550781
2023-03-02,381.359467,87.551018,170.660004,23475.466797
2023-03-03,387.475677,89.672035,172.490005,22362.679688
2023-03-06,387.744110,88.976761,171.619995,22429.757812
2023-03-07,381.800476,89.522423,168.619995,22219.769531
2023-03-08,382.423553,89.610420,168.539993,21718.080078
2023-03-09,375.367981,89.830444,170.199997,20363.021484
2023-03-10,369.951569,92.928345,173.869995,20187.244141
2023-03-13,369.424316,93.139572,177.860001,24197.533203
2023-03-14,375.530884,91.608223,176.830002,24746.074219
2023-03-15,373.182251,93.377197,178.210007,24375.960938
2023-03-16,379.729767,92.646721,178.570007,25052.789062
2023-03-17,375.289642,94.037270,183.770004,27423.929688
2023-03-20,378.898376,93.209999,183.839996,27767.236328
2023-03-21,383.873444,92.409103,180.369995,28175.816406
2023-03-22,377.329773,93.641205,183.440002,27307.437500
2023-03-23,378.349884,93.641205,185.740005,28333.972656
2023-03-24,380.832581,94.037270,183.649994,27493.285156
2023-03-27,381.544647,91.828247,181.949997,27139.888672
2023-03-28,380.688232,91.995438,183.440002,27268.130859
2023-03-29,386.221466,91.810646,182.529999,28348.441406
2023-03-30,388.482910,92.233078,184.179993,28033.562500
2023-03-31,393.958405,93.614815,183.220001,28478.484375
2023-04-03,395.459686,94.055077,184.539993,27790.220703
2023-04-04,393.265594,94.522705,187.979996,28168.089844
2023-04-05,392.235931,95.510887,187.830002,28177.984375
2023-04-06,393.765991,95.757965,186.490005,28044.140625
2023-04-10,394.170135,94.213905,185.110001,29652.980469
2023-04-11,394.275970,94.408020,186.279999,30235.058594
2023-04-12,392.668915,94.310944,187.190002,30139.052734
2023-04-13,397.884613,93.569824,189.720001,30399.066406
2023-04-14,396.912689,92.713966,186.360001,30485.699219
2023-04-17,398.336945,91.611076,185.529999,29445.044922
2023-04-18,398.596741,91.937523,186.250000,30397.552734
2023-04-19,398.529419,91.849312,185.360001,28822.679688
2023-04-20,396.354584,92.634544,186.089996,28245.988281
